Time,Heart Rate
14:22:46,105
14:22:51,106
14:22:56,107
14:23:11,106
14:23:16,107
14:23:31,108
14:23:36,107
14:23:41,108
14:23:46,107
14:23:51,105
14:23:56,101
14:24:01,96
14:24:11,95
14:24:16,94
14:24:31,94
14:24:41,90
14:24:46,86
14:24:56,85
14:25:01,82
14:25:11,81
14:25:21,81
14:25:26,82
14:25:31,83
14:25:36,84
14:25:46,84
14:26:01,84
14:26:16,84
14:26:31,84
14:26:36,86
14:26:46,87
14:26:56,88
14:27:11,85
14:27:16,79
14:27:21,79
14:27:31,80
14:27:36,81
14:27:51,81
14:27:56,81
14:28:01,80
14:28:16,80
14:28:26,83
14:28:31,82
14:28:36,80
14:28:46,81
14:28:51,80
14:28:56,81
14:29:11,81
14:29:16,82
14:29:21,83
14:29:26,84
14:29:31,85
14:29:46,79
14:30:01,79
14:30:11,80
14:30:16,86
14:30:21,87
14:30:26,88
14:30:41,88
14:30:46,88
14:31:01,87
14:31:16,87
14:31:31,87
14:31:46,87
14:31:56,84
14:32:11,84
14:32:26,84
14:32:41,84
14:32:51,85
14:32:56,84
14:33:11,84
14:33:21,85
14:33:26,85
14:33:31,83
14:33:36,81
14:33:41,80
14:33:46,82
14:33:51,83
14:34:01,83
14:34:06,84
14:34:11,84
14:34:26,84
14:34:41,84
14:34:51,83
14:34:56,82
14:35:06,81
14:35:11,80
14:35:16,79
14:35:26,78
14:35:31,79
14:35:36,80
14:35:41,79
14:35:56,78
14:36:01,77
14:36:06,76
14:36:16,77
14:36:21,78
14:36:26,78
14:36:41,78
14:36:46,79
14:36:51,80
14:37:01,81
14:37:16,81
14:37:21,81
14:37:26,80
14:37:31,79
14:37:36,78
14:37:41,77
14:37:56,78
14:38:01,77
14:38:06,77
14:38:11,76
14:38:26,76
14:38:31,75
14:38:36,74
14:38:51,74
14:38:56,75
14:39:11,75
14:39:16,76
14:39:31,76
14:39:36,83
14:39:41,82
14:39:46,81
14:39:56,82
14:40:06,81
14:40:11,80
14:40:26,80
14:40:41,81
14:40:42,81
14:40:52,82
14:41:07,83
14:41:17,84
14:41:27,83
14:41:32,85
14:41:47,84
14:41:52,84
14:42:07,84
14:42:12,85
14:42:22,84
14:42:37,82
14:42:42,81
14:42:52,80
14:42:57,78
14:43:12,78
14:43:17,78
14:43:27,78
14:43:42,77
14:43:52,77
14:43:57,78
14:44:02,79
14:44:12,77
14:44:17,75
14:44:32,75
14:44:37,76
14:44:52,76
14:44:57,77
14:45:12,78
14:45:27,78
14:45:42,78
14:45:57,78
14:46:12,79
14:46:27,80
14:46:32,79
14:46:37,76
14:46:42,77
14:46:47,76
14:46:57,79
14:47:02,80
14:47:17,80
14:47:32,81
14:47:37,83
14:47:42,85
14:47:47,86
14:47:52,87
14:47:57,86
14:48:02,83
14:48:17,83
14:48:27,84
14:48:32,85
14:48:37,87
14:48:42,88
14:48:47,86
14:48:53,85
14:48:58,84
14:49:08,86
14:49:23,86
14:49:33,88
14:49:38,89
14:49:48,91
14:49:53,93
14:49:58,95
14:50:03,97
14:50:13,99
14:50:18,101
14:50:23,102
14:50:28,103
14:50:33,104
14:50:38,103
14:50:43,103
14:50:48,101
14:50:53,100
14:50:58,97
14:51:03,95
14:51:08,96
14:51:13,97
14:51:18,102
14:51:23,103
14:51:28,106
14:51:33,108
14:51:38,107
14:51:43,105
14:51:48,104
14:51:53,103
14:51:58,102
14:52:03,99
14:52:13,97
14:52:18,92
14:52:28,101
14:52:33,100
14:52:38,98
14:52:43,99
14:52:48,98
14:53:03,98
14:53:08,100
14:53:18,96
14:53:23,91
14:53:28,83
14:53:38,86
14:53:43,80
14:53:48,77
14:53:53,75
14:53:58,80
14:54:13,81
14:54:18,79
14:54:28,78
14:54:33,78
14:54:38,83
14:54:43,90
14:54:48,86
14:54:58,85
14:55:03,83
14:55:08,81
14:55:23,81
14:55:28,79
14:55:33,78
14:55:38,78
14:55:43,77
14:55:48,78
14:55:58,79
14:56:03,78
14:56:08,79
14:56:18,77
14:56:33,77
14:56:43,80
14:56:58,80
14:57:03,79
14:57:13,78
14:57:18,77
14:57:33,77
14:57:43,78
14:57:52,77
14:57:57,78
14:58:12,80
14:58:17,81
14:58:22,82
14:58:37,83
14:58:47,85
14:58:52,86
14:58:57,85
14:59:02,83
14:59:07,80
14:59:17,79
14:59:22,73
14:59:27,82
14:59:32,83
14:59:47,86
14:59:52,85
15:00:07,85
15:00:12,83
15:00:17,82
15:00:32,82
15:01:03,87
15:01:08,86
15:01:13,87
15:01:18,89
15:01:33,89
15:01:43,86
15:01:58,86
15:02:13,88
15:02:18,92
15:02:23,91
15:02:38,90
15:02:48,89
15:03:03,89
15:03:18,89
15:03:28,90
15:03:43,90
15:03:53,89
15:03:58,87
15:04:03,86
15:04:13,85
15:04:18,83
15:04:23,82
15:04:28,81
15:04:33,80
15:04:38,81
15:04:43,80
15:04:48,81
15:04:53,81
15:04:58,81
15:05:03,80
15:05:08,79
15:05:13,77
15:05:23,76
15:05:33,79
15:05:38,81
15:05:53,82
15:05:58,83
15:06:08,88
15:06:13,90
15:06:18,89
15:06:28,86
15:06:33,83
15:06:48,83
15:07:03,83
15:07:13,83
15:07:28,83
15:07:33,82
15:07:48,82
15:08:03,82
15:08:18,81
15:08:33,81
15:08:48,80
15:09:03,80
15:09:18,80
15:09:23,80
15:09:38,79
15:09:53,79
15:10:03,79
15:10:08,79
15:10:18,80
15:10:33,80
15:10:43,79
15:10:53,78
15:11:08,78
15:11:13,79
15:11:28,79
15:11:33,76
15:11:38,75
15:11:43,74
15:11:48,73
15:11:53,72
15:12:03,74
15:12:08,75
15:12:13,76
15:12:18,77
15:12:28,76
15:12:38,76
15:12:43,76
15:12:48,75
15:13:03,75
15:13:04,74
15:13:09,78
15:13:14,85
15:13:19,84
15:13:24,83
15:13:39,83
15:13:54,82
15:14:09,80
15:14:24,80
15:14:34,81
15:14:49,81
15:14:54,82
15:15:09,82
15:15:19,81
15:15:24,80
15:15:39,79
15:15:44,79
15:15:49,76
15:15:54,74
15:16:09,74
15:16:19,73
15:16:24,74
15:16:34,73
15:16:39,74
15:16:44,75
15:16:49,75
15:17:04,76
15:17:09,75
15:17:19,76
15:17:24,75
15:17:34,68
15:17:49,68
15:17:59,69
15:18:04,70
15:18:09,69
15:18:24,69
15:18:29,70
15:18:44,71
15:18:59,71
15:19:04,72
15:19:14,73
15:19:29,75
15:19:34,74
15:19:44,76
15:19:49,74
15:19:54,76
15:19:59,77
15:20:09,76
15:20:24,74
15:20:34,75
15:20:44,76
15:20:49,75
15:21:04,74
15:21:09,73
15:21:14,72
15:21:19,71
15:21:34,71
15:21:49,71
15:22:04,76
15:22:09,81
15:22:19,81
15:22:24,79
15:22:29,77
15:22:39,78
15:22:44,79
15:22:49,78
15:23:04,78
15:23:09,77
15:23:14,78
15:23:19,77
15:23:34,77
15:23:39,78
15:23:49,79
15:23:54,77
15:23:59,76
15:24:04,77
15:24:19,77
15:24:29,78
15:24:39,79
15:24:44,76
15:24:54,79
15:25:00,81
15:25:05,84
15:25:10,86
15:25:15,87
15:25:30,87
15:25:35,87
15:25:40,88
15:25:55,87
15:26:00,86
15:26:15,86
15:26:30,86
15:26:35,85
15:26:50,85
15:27:00,87
15:27:10,85
15:27:15,82
15:27:20,83
15:27:25,82
15:27:40,83
15:27:55,82
15:28:10,82
15:28:15,81
15:28:20,78
15:28:25,77
15:28:35,78
15:28:40,83
15:28:45,84
15:28:50,84
15:28:55,83
15:29:10,83
15:29:25,83
15:29:40,83
15:29:50,82
15:29:55,79
15:30:00,78
15:30:05,79
15:30:20,79
15:30:25,86
15:30:30,87
15:30:45,87
15:31:00,86
15:31:10,85
15:31:25,85
15:31:40,85
